name,lat,lng,status,npsn,bentuk,telp,alamat,kelurahan,kecamatan
SD DAARUL HIKMAH BANDUNG,-6.915800000000,107.656900000000,Swasta,70005215,SD,08122023600,Jl. Cikampek Raya No. 17,Antapani Tengah,Kec. Antapani
SD DARUL HIKAM,-6.878892000000,107.616275900000,Swasta,20219597,SD,0222516705,Jl. Ir. H. Juanda 285,Dago,Kec. Coblong
SD DARUL HIKAM INTEGRATED SCHOOL,-6.905500000000,107.630600000000,Swasta,70031982,SD,02220531676,Jl. Brigjen Katamso No. 07,Cihaurgeulis,Kec. Cibeunying Kaler
SD DEWI SARTIKA,-6.925500000000,107.604200000000,Swasta,20219596,SD,0224214290,Jl. Kautamaan Istri No.12,Balong Gede,Kec. Regol
SD DIAN KENCANA,-6.937900000000,107.608700000000,Swasta,20219606,SD,5227047,Jl. BKR No. 167,Cigereleng,Kec. Regol
SD DWI AMANAT,-6.922300000000,107.587700000000,Swasta,20219607,SD,6021207,Jl. Pagarsih No. 205,Jamika,Kec. Bojong Loa Kaler
SD DWISAKTI,-6.910200000000,107.577400000000,Swasta,20219616,SD,0226011301,Jl. Laksmud. Nurtanio No.58,Garuda,Kec. Andir
SD EDU GLOBAL,-6.903881000000,107.612557000000,Swasta,69980373,SD,20523705,Jl. Citarum No. 35,Citarum,Kec. Bandung Wetan
SD EL FITRA,-6.924800000000,107.665000000000,Swasta,69948519,SD,02287831182,Jl. Cibodas Raya No. 49,Antapani Kidul,Kec. Antapani
SD ESA KAREEM PRIMARY SCHOOL,-6.945900000000,107.675900000000,Swasta,70046462,SD,08987204420,Jl. Bina ASih Timur I No. 1,Cipamokolan,Kec. Rancasari
SD ESSENVILLE PRIMARY SCHOOL,0.000000000000,0.000000000000,Swasta,70052386,SD,081281601982,Jl. PHH. Mustofa No. 72,Cikutra,Kec. Cibeunying Kidul
SD GAGAS CERIA,-6.920600000000,107.624800000000,Swasta,20247207,SD,7303086,Jl. Malabar No. 61,Malabar,Kec. Lengkong
SD GANESHA,-6.935900000000,107.606600000000,Swasta,20219615,SD,5206994,Jl. Muhamad Toha No. 84,Pelindung Hewan,Kec. Astanaanyar
SD GIKI,-6.881000000000,107.596700000000,Swasta,20219614,SD,0222042029,Jl. Karangsari No. 29,Pasteur,Kec. Sukajadi
